,C1,C2,C3,C4,FC1,CZ,FC2,PZ
2,-6931.2578125,81835.28125,35099.12890625,75252.4453125,12013.9609375,126747.8125,48529.4375,79150.2109375
0,-7054.90087890625,81911.6171875,35062.41015625,75325.3046875,12051.1064453125,126940.3125,48753.21875,79349.4765625
1,-6990.337890625,81979.8125,35160.1171875,74988.515625,12093.1162109375,126940.359375,48657.7109375,79322.4453125
2,-6753.1591796875,82015.5703125,35360.578125,74360.90625,12129.689453125,126750.1484375,48278.1953125,79079.2109375
0,-6446.69580078125,81996.59375,35575.7734375,73678.359375,12136.5556640625,126433.71875,47751.09765625,78707.1328125
1,-6178.6650390625,81930.6953125,35733.41796875,73190.6484375,12111.7119140625,126107.8515625,47274.26171875,78344.2578125
2,-6039.71484375,81857.8359375,35781.9609375,73093.5625,12078.4765625,125908.34375,47030.3125,78135.9296875
3,-6115.1982421875,81788.8828125,35675.9609375,73451.4296875,12032.939453125,125908.8203125,47122.9140625,78165.4921875
4,-6376.45703125,81754.6015625,35460.37890625,74136.9296875,11997.4150390625,126119.9140625,47533.515625,78430.8046875
5,-6694.88916015625,81768.0,35235.21875,74820.859375,11983.109375,126437.34375,48069.38671875,78801.78125
6,-6956.72119140625,81824.546875,35082.48828125,75259.0234375,11998.3212890625,126741.9453125,48518.94921875,79142.8671875
7,-7065.48681640625,81913.4296875,35059.45703125,75339.328125,12045.9091796875,126945.703125,48752.45703125,79352.1015625
0,-6994.43896484375,81981.859375,35160.2109375,74980.3125,12090.3017578125,126941.171875,48647.98046875,79320.0078125
1,-6762.31396484375,82009.8984375,35353.85546875,74336.0625,12122.2978515625,126743.0,48258.40625,79068.5234375
2,-6461.5732421875,81990.0625,35565.90625,73668.296875,12128.9736328125,126429.09375,47738.03125,78699.0703125
3,-6185.9609375,81937.2734375,35732.55859375,73209.7265625,12113.333984375,126118.1484375,47279.171875,78350.9375
4,-6050.9208984375,81863.796875,35778.3359375,73130.6640625,12078.572265625,125923.453125,47043.375,78149.7109375
5,-6124.115234375,81797.1796875,35674.765625,73477.0859375,12034.65625,125925.84375,47138.93359375,78180.2734375
6,-6385.421875,81761.9453125,35456.46875,74137.265625,11996.8896484375,126128.3046875,47537.5234375,78438.671875
0,-6711.29296875,81767.8984375,35223.05859375,74811.9921875,11976.8154296875,126435.8671875,48065.0,78801.2578125
1,-6964.3017578125,81829.6015625,35078.00390625,75250.96875,12000.84765625,126744.953125,48519.04296875,79145.4375
2,-7082.65283203125,81910.1875,35048.6796875,75331.265625,12044.240234375,126940.8359375,48747.06640625,79346.8125
0,-7014.3701171875,81978.09375,35149.91015625,75004.5859375,12090.5888671875,126943.984375,48657.375,79321.921875
1,-6779.86181640625,82011.0390625,35347.41796875,74379.0703125,12121.1064453125,126748.625,48278.86328125,79074.0078125
0,-6468.2490234375,81993.6875,35567.8125,73652.2734375,12126.8759765625,126425.7109375,47736.79296875,78696.78125
1,-6198.8359375,81930.359375,35727.3125,73166.3828125,12103.462890625,126101.984375,47252.27734375,78337.5859375
2,-6065.703125,81859.6484375,35770.80078125,73112.3046875,12072.9462890625,125913.3515625,47036.60546875,78141.84375
3,-6138.1337890625,81798.3203125,35669.80859375,73481.4765625,12038.8037109375,125929.1796875,47157.578125,78180.84375
0,-6405.544921875,81764.0859375,35449.796875,74160.015625,12008.0478515625,126144.46875,47569.7109375,78447.3515625
1,-6723.02294921875,81782.921875,35230.06640625,74852.28125,12004.2333984375,126471.390625,48116.40234375,78826.578125
2,-6970.4541015625,81850.6796875,35089.6875,75291.0703125,12032.4619140625,126783.1015625,48570.78125,79173.859375
0,-7087.27880859375,81926.78125,35057.30859375,75344.0,12070.4658203125,126963.34375,48772.1484375,79360.4453125
1,-7014.751953125,81991.875,35160.2578125,74979.8828125,12112.5234375,126949.375,48646.3125,79319.390625
0,-6778.43115234375,82024.4375,35358.09765625,74371.5390625,12143.5654296875,126755.3515625,48270.8515625,79074.296875
1,-6469.2978515625,82010.65625,35577.4453125,73707.015625,12153.3876953125,126444.0234375,47753.72265625,78709.5625
2,-6196.68994140625,81956.4921875,35745.1015625,73219.453125,12145.7109375,126137.4140625,47293.71484375,78363.234375
0,-6071.6630859375,81886.5859375,35789.0625,73152.0703125,12124.1103515625,125962.1328125,47089.24609375,78174.078125
1,-6156.44482421875,81836.5703125,35687.40234375,73634.34375,12090.8271484375,126004.46875,47263.76953125,78242.5
0,-6418.37109375,81810.625,35469.7734375,74284.703125,12051.822265625,126212.65625,47681.38671875,78502.7109375
1,-6732.56005859375,81829.796875,35249.6171875,74907.7890625,12046.4814453125,126529.0390625,48204.09375,78873.546875
2,-6980.0380859375,81898.6484375,35114.0546875,75343.5703125,12076.42578125,126839.078125,48647.21875,79211.765625
3,-7097.912109375,81977.46875,35085.5390625,75432.8359375,12118.484375,127029.4375,48853.44921875,79399.78125
0,-7023.048828125,82058.34375,35201.31640625,75135.3359375,12188.7216796875,127057.8515625,48778.4453125,79382.0
1,-6774.998046875,82105.6015625,35415.4140625,74475.0078125,12239.5048828125,126872.078125,48384.2421875,79135.5234375
0,-6467.62890625,82086.046875,35626.94140625,73717.7421875,12223.6259765625,126527.46875,47814.515625,78739.703125
1,-6192.541015625,82025.4921875,35786.34765625,73179.6796875,12177.0390625,126171.6484375,47290.99609375,78350.359375
2,-6075.23876953125,81944.859375,35817.72265625,73130.8046875,12123.966796875,125961.75,47034.078125,78136.265625
0,-6164.35986328125,81887.875,35714.7734375,73550.421875,12088.919921875,125997.609375,47167.6875,78192.765625
1,-6430.05419921875,81884.96875,35504.8203125,74313.4609375,12073.279296875,126263.015625,47659.1171875,78494.4609375
2,-6735.4677734375,81937.5625,35297.015625,75048.1171875,12076.3310546875,126616.6796875,48240.3828125,78885.375
0,-6982.6611328125,82012.421875,35150.9140625,75395.0703125,12081.337890625,126903.359375,48646.359375,79206.6171875
1,-7095.86181640625,82091.1015625,35116.10546875,75343.5234375,12090.9697265625,127045.125,48778.015625,79354.0078125
0,-7008.41015625,82178.3125,35230.546875,74977.171875,12135.8876953125,127034.484375,48635.8203125,79304.84375
1,-6770.22998046875,82227.90625,35429.86328125,74394.234375,12156.201171875,126834.9765625,48240.5703125,79044.640625
2,-6458.42578125,82226.2890625,35646.48828125,73690.8046875,12147.7138671875,126504.8671875,47680.765625,78649.765625
0,-6182.09912109375,82189.953125,35811.71484375,73200.8515625,12122.91796875,126191.203125,47207.88671875,78285.4140625
1,-6064.3681640625,82130.5859375,35846.80859375,73158.796875,12076.1884765625,126009.671875,46990.01953125,78087.578125
2,-6163.2158203125,82078.9921875,35726.7421875,73590.90625,12016.48828125,126038.28125,47121.00390625,78138.6953125
3,-6439.54296875,82067.8359375,35498.671875,74324.5703125,11964.0361328125,126273.359375,47564.1796875,78419.265625
4,-6745.52880859375,82131.921875,35293.8671875,75085.265625,11966.611328125,126647.8203125,48169.37890625,78835.3984375
5,-6998.4921875,82257.1875,35172.609375,75712.2109375,12033.75,127065.484375,48780.3515625,79261.6953125
6,-7109.02197265625,82411.15625,35171.3671875,75940.3828125,12120.8681640625,127361.8359375,49178.65234375,79522.4765625
7,-7025.09912109375,82533.9375,35281.375,75569.59375,12176.0849609375,127373.46875,49097.640625,79468.3046875
8,-6781.81689453125,82620.203125,35487.3203125,75023.1328125,12230.587890625,127196.609375,48695.94921875,79217.7265625
0,-6472.3017578125,82639.46875,35713.8671875,74247.3203125,12272.693359375,126883.4296875,48071.9609375,78824.71875
1,-6206.94189453125,82590.015625,35874.515625,73531.15625,12288.5244140625,126542.5859375,47462.66015625,78415.546875
2,-6090.259765625,82545.3828125,35902.88671875,73505.5078125,12287.5703125,126376.6875,47291.80859375,78223.1875
0,-6186.10400390625,82525.9296875,35777.859375,74184.5703125,12278.939453125,126438.34375,47595.5078125,78320.796875
1,-6455.27880859375,82493.6953125,35555.9375,74767.0703125,12309.7431640625,126613.5390625,47920.66015625,78560.359375
2,-6775.23583984375,82476.765625,35334.11328125,75255.0703125,12463.33203125,126876.3203125,48225.171875,78877.890625
0,-7025.19482421875,82527.078125,35216.14453125,75759.8515625,12812.04296875,127200.1875,48621.421875,79223.6875
1,-7126.2841796875,82637.3671875,35270.88671875,76079.7578125,13443.6142578125,127489.578125,48964.79296875,79480.8515625
2,-7040.35791015625,82695.921875,35463.00390625,75515.609375,14392.7587890625,127444.234375,48740.203125,79361.1640625
0,-6791.06689453125,82711.0390625,35765.3671875,74613.0078125,15823.4609375,127154.4609375,48122.4609375,78978.453125
1,-6471.77685546875,82724.7734375,36144.5,74002.4140625,17850.115234375,126856.1484375,47582.53515625,78582.203125
2,-6204.89111328125,82715.046875,36518.625,73691.6640625,20370.4375,126604.765625,47194.7734375,78235.4453125
0,-6102.94384765625,82674.9453125,36832.14453125,73739.7265625,23062.61328125,126479.0234375,46989.3046875,78045.375
1,-6198.1201171875,82634.265625,37153.24609375,74091.6796875,25540.974609375,126544.6328125,47016.53125,78069.984375
2,-6468.77294921875,82611.3828125,37543.203125,74695.59375,27337.83984375,126814.1875,47284.89453125,78314.6484375
0,-6777.5732421875,82655.1015625,38142.875,75436.03125,28263.71484375,127262.75,47761.4921875,78708.609375
1,-7023.47802734375,82764.6796875,38968.13671875,75957.6875,28492.978515625,127744.9765625,48203.85546875,79075.015625
2,-7124.7578125,82947.7890625,40005.59375,76272.921875,28406.337890625,128200.828125,48565.39453125,79351.9609375
0,-7031.2978515625,83177.1484375,41196.3984375,76175.7421875,28337.291015625,128489.5546875,48691.0859375,79406.3203125
1,-6777.09619140625,83360.7265625,42336.0390625,75345.5703125,28374.150390625,128393.8046875,48274.6171875,79111.15625
0,-6470.2509765625,83500.5859375,43238.12109375,74620.4453125,28455.40234375,128111.6640625,47714.23828125,78673.2734375
1,-6198.59716796875,83628.28125,44012.359375,74180.0859375,28552.34375,127905.09375,47334.8671875,78277.6953125
2,-6087.2080078125,83736.0,44711.0234375,74168.0703125,28585.341796875,127890.21875,47171.93359375,78079.9921875
0,-6189.537109375,83877.2890625,45379.35546875,74848.65625,28501.466796875,128210.609375,47390.41796875,78217.421875
1,-6462.3837890625,84045.609375,46065.71875,75732.90625,28323.701171875,128779.09375,47862.8203125,78572.1875
2,-6773.423828125,84234.6796875,46787.36328125,76454.21875,28109.267578125,129443.1875,48430.58984375,78999.671875
0,-7023.9072265625,84438.3828125,47460.46484375,76821.1484375,27923.205078125,129994.8828125,48906.71484375,79332.8828125
1,-7118.416015625,84629.828125,48049.59765625,76499.8984375,27824.0234375,130230.109375,49058.39453125,79419.625
2,-7024.76513671875,84822.6171875,48495.01171875,76032.453125,27833.654296875,130253.6171875,49033.7890625,79333.03125
0,-6767.60693359375,85016.8828125,48790.078125,75614.3671875,27942.9453125,130113.046875,48885.3984375,79092.984375
1,-6446.791015625,85152.0625,48852.01953125,75087.4140625,28100.111328125,129767.2890625,48535.97265625,78703.84375
2,-6182.81396484375,85210.1875,48779.30078125,74663.984375,28230.384765625,129446.7109375,48172.57421875,78348.265625
0,-6087.35107421875,85222.4453125,48616.4140625,74760.2578125,28269.341796875,129412.5703125,48102.765625,78217.3203125
1,-6197.07080078125,85208.5234375,48395.49609375,75276.046875,28195.3359375,129681.796875,48292.21484375,78340.3515625
2,-6463.9091796875,85173.328125,48157.078125,75855.0234375,28033.44921875,130126.875,48584.84765625,78647.8125
0,-6767.89306640625,85154.1171875,47942.359375,76520.40625,27836.9921875,130628.7890625,48918.109375,79056.703125
0,-7018.85302734375,85164.5546875,47792.01171875,76977.0703125,27658.03515625,131075.4375,49206.5,79423.484375
1,-7121.75390625,85222.4453125,47735.41015625,77071.1015625,27556.70703125,131351.71875,49379.40234375,79630.1484375
2,-7020.23486328125,85356.8671875,47753.53125,76850.6171875,27577.1640625,131344.953125,49356.1796875,79602.5390625
3,-6757.83203125,85524.328125,47760.5859375,76240.0234375,27694.37109375,130984.03125,49012.76171875,79298.21875
4,-6438.5419921875,85683.640625,47705.94140625,75471.5078125,27853.205078125,130460.703125,48468.83203125,78855.09375
5,-6176.04296875,85825.640625,47585.015625,75046.453125,27983.810546875,130062.8359375,47993.140625,78499.703125
6,-6074.85791015625,85949.3359375,47342.2578125,75093.1328125,28032.638671875,129884.3515625,47677.37890625,78347.9765625
7,-6186.341796875,86054.140625,46998.93359375,75762.8984375,27963.83203125,130044.859375,47620.4921875,78511.1953125
8,-6472.25390625,86147.2265625,46622.99609375,76782.7578125,27787.974609375,130510.7734375,47815.7109375,78929.625
9,-6780.81494140625,86255.1796875,46301.98828125,77396.3046875,27589.515625,130993.4296875,48053.69921875,79378.0859375
10,-7015.9921875,86393.2734375,46074.921875,77924.1640625,27427.9140625,131433.9375,48335.60546875,79804.71875
11,-7110.26220703125,86544.3828125,45923.6171875,77917.8671875,27338.5078125,131559.34375,48488.765625,79925.0703125
12,-7017.087890625,86737.0703125,45890.52734375,77499.4453125,27354.482421875,131445.90625,48504.73828125,79836.28125
0,-6758.1181640625,86975.7734375,45932.01171875,76996.953125,27470.2578125,131123.796875,48395.92578125,79550.796875
1,-6441.2119140625,87220.484375,45961.91015625,76491.890625,27629.1875,130687.34375,48183.4453125,79163.609375
2,-6165.837890625,87436.96875,45924.0,76198.4453125,27777.484375,130310.7421875,47963.1953125,78834.6875
0,-6062.0791015625,87565.0,45732.453125,76057.8203125,27831.271484375,130046.5703125,47701.984375,78637.9453125
1,-6171.22705078125,87602.9140625,45397.57421875,76418.125,27765.75390625,130103.5078125,47537.5234375,78760.5859375
2,-6458.85498046875,87568.8203125,44956.49609375,77192.6953125,27593.091796875,130447.546875,47528.796875,79158.03125
0,-6764.5078125,87530.578125,44552.140625,78041.46875,27399.923828125,130937.546875,47681.05078125,79683.7890625
1,-7007.1220703125,87518.4140625,44236.28125,78855.5703125,27232.5546875,131463.640625,47948.5546875,80202.4921875
2,-7102.68115234375,87541.78125,44038.96875,78665.984375,27142.09765625,131600.0625,48045.734375,80331.71875
0,-7001.2568359375,87631.6171875,43981.26953125,78010.9453125,27165.701171875,131401.984375,47990.08984375,80168.1640625
1,-6734.7529296875,87784.96875,44024.13671875,77458.203125,27290.87109375,131045.40625,47903.828125,79823.21875
2,-6419.1337890625,87947.8515625,44087.4140625,76888.4765625,27450.134765625,130620.015625,47750.62109375,79409.890625
0,-6158.06591796875,88080.75,44091.9921875,76484.828125,27587.3203125,130244.21875,47548.44140625,79066.71875
1,-6069.61279296875,88138.828125,43949.03515625,76632.4609375,27629.712890625,130097.2109375,47366.71875,78980.265625
0,-6184.578125,88120.234375,43649.8203125,77176.8671875,27563.765625,130208.4140625,47256.046875,79176.34375
1,-6467.3427734375,88038.1171875,43247.515625,78017.1015625,27398.3984375,130561.75,47220.99609375,79616.3203125
2,-6779.52783203125,87940.890625,42847.11328125,78671.75,27202.37109375,130975.7890625,47241.07421875,80095.25
0,-7023.52587890625,87871.9921875,42517.19140625,79069.0546875,27035.287109375,131297.890625,47284.1796875,80462.84375
1,-7106.5908203125,87870.890625,42328.171875,79104.3828125,26956.322265625,131448.46875,47337.77734375,80589.4453125
0,-6994.48583984375,87948.4296875,42304.47265625,78724.7265625,26990.55859375,131371.328125,47328.5234375,80478.6328125
1,-6732.32080078125,88083.421875,42395.40625,78233.109375,27109.673828125,131150.0625,47270.16015625,80187.28125
2,-6416.65478515625,88239.34375,42500.73828125,77642.3515625,27271.46484375,130750.3828125,47120.00390625,79732.90625
3,-6151.8671875,88368.8515625,42549.7578125,77292.59375,27412.94140625,130403.484375,46922.0703125,79397.59375
0,-6065.0830078125,88421.2109375,42455.01171875,77431.3046875,27457.669921875,130298.34375,46715.59765625,79333.125
1,-6177.85498046875,88388.1171875,42177.73046875,77763.9921875,27392.294921875,130327.09375,46496.0625,79450.7578125
2,-6463.2421875,88280.8828125,41766.7890625,78340.6796875,27224.400390625,130510.0625,46283.6328125,79788.453125
0,-6774.23486328125,88165.34375,41369.34765625,79077.921875,27029.46875,130875.796875,46154.02734375,80255.6640625
1,-7015.7529296875,88073.59375,41046.52734375,79319.390625,26863.529296875,131147.546875,46020.03515625,80573.7578125
2,-7102.06103515625,88050.6640625,40873.9140625,79479.4140625,26778.17578125,131356.734375,45942.3125,80775.4609375
0,-6995.5830078125,88114.703125,40873.29296875,79316.1015625,26804.87890625,131387.765625,45900.77734375,80737.8359375
1,-6729.31689453125,88245.640625,40989.1171875,78818.1875,26928.80859375,131185.265625,45870.9296875,80438.8125
2,-6408.548828125,88398.65625,41125.30078125,78141.21875,27097.513671875,130812.7109375,45820.05078125,79960.3046875
0,-6147.95703125,88523.203125,41195.30078125,77722.75,27239.515625,130445.015625,45715.86328125,79563.71875
1,-6064.27197265625,88567.890625,41101.65234375,77729.46875,27283.861328125,130229.96875,45547.96875,79417.71875
2,-6183.86279296875,88530.9296875,40837.81640625,78186.09375,27215.72265625,130251.234375,45357.421875,79599.9140625
0,-6473.2080078125,88423.6875,40440.421875,78970.8671875,27045.396484375,130511.7265625,45145.515625,80054.9609375
1,-6786.72802734375,88304.9140625,40036.73046875,79693.9453125,26852.27734375,130884.7578125,44953.97265625,80576.859375
2,-7028.77099609375,88217.9375,39704.99609375,80202.921875,26689.67578125,131237.71875,44809.203125,81010.5859375
3,-7109.78515625,88200.0078125,39514.73828125,80245.40625,26613.142578125,131397.9375,44723.0390625,81150.6875
4,-6996.44091796875,88265.09375,39494.61328125,79836.375,26648.619140625,131353.0625,44694.0,81018.40625
5,-6727.45703125,88395.984375,39601.140625,79247.296875,26779.2734375,131112.0625,44699.67578125,80642.6171875
6,-6413.03076171875,88543.046875,39734.03515625,78648.1953125,26943.638671875,130731.3125,44703.8203125,80156.0
0,-6159.830078125,88660.0625,39809.515625,78280.265625,27080.0625,130387.9375,44676.35546875,79786.8828125
1,-6078.2431640625,88701.3046875,39732.12890625,78458.4609375,27125.07421875,130208.6953125,44578.26953125,79682.1171875
2,-6203.93798828125,88653.2421875,39474.68359375,78939.96875,27054.55078125,130212.9453125,44404.94140625,79859.21875
3,-6490.087890625,88537.1328125,39087.15625,79731.6171875,26888.564453125,130430.6171875,44189.36328125,80307.5390625
4,-6799.26904296875,88407.71875,38689.94921875,80495.2734375,26698.783203125,130749.2890625,43984.703125,80791.671875
0,-7036.2568359375,88307.7734375,38368.1796875,80904.6875,26541.09375,131065.4296875,43826.7265625,81169.8046875
1,-7113.4091796875,88277.3046875,38192.703125,80864.296875,26469.28125,131241.0,43737.46484375,81293.5
2,-6993.9619140625,88333.1875,38187.078125,80586.3984375,26508.857421875,131227.703125,43727.44921875,81158.6015625
0,-6720.35205078125,88457.734375,38311.53125,80107.5078125,26639.892578125,131030.859375,43770.3671875,80787.140625
1,-6399.91796875,88604.5546875,38469.9375,79464.15625,26809.837890625,130698.21875,43817.62109375,80295.140625
2,-6142.56884765625,88718.8984375,38566.83203125,79046.3984375,26949.265625,130398.0,43831.06640625,79917.203125
0,-6062.88916015625,88749.5625,38497.1171875,79035.4375,26992.37109375,130199.4453125,43765.8359375,79771.953125
1,-6193.8291015625,88687.71875,38246.3515625,79324.5390625,26919.3203125,130136.078125,43613.58203125,79889.5
2,-6490.27880859375,88553.8203125,37860.3984375,80006.515625,26745.513671875,130302.828125,43405.203125,80308.3984375
0,-6794.40478515625,88416.921875,37477.40234375,80687.484375,26556.923828125,130591.9296875,43210.3671875,80784.5234375
1,-7017.23095703125,88320.0234375,37175.75390625,81101.3828125,26411.345703125,130880.2265625,43065.83984375,81158.7890625
2,-7092.90478515625,88280.734375,37006.4296875,81119.546875,26336.86328125,131045.2578125,42978.86328125,81286.25
0,-6979.751953125,88324.125,37001.47265625,80779.3671875,26370.623046875,131034.0546875,42968.0859375,81127.2265625
1,-6707.048828125,88440.3359375,37131.45703125,80251.1328125,26500.41796875,130866.1640625,43020.921875,80759.8671875
2,-6387.3291015625,88580.4296875,37294.296875,79638.296875,26668.216796875,130570.7578125,43081.71875,80280.7890625
0,-6132.03076171875,88688.859375,37397.24609375,79258.828125,26804.6875,130276.5546875,43105.55859375,79914.9609375
1,-6051.541015625,88719.7109375,37339.73828125,79180.6796875,26850.2265625,130056.78125,43044.6171875,79744.25
2,-6180.5732421875,88659.7734375,37101.796875,79446.65625,26780.560546875,130000.65625,42898.13671875,79863.65625
0,-6484.7001953125,88515.625,36716.03515625,80149.5625,26599.6015625,130166.2578125,42684.1796875,80281.03125
1,-6789.68505859375,88373.765625,36340.859375,80790.1015625,26411.107421875,130442.4453125,42489.390625,80756.0078125
0,-7018.7568359375,88266.09375,36041.9296875,81203.421875,26258.947265625,130720.203125,42339.6171875,81135.421875
1,-7091.3798828125,88223.609375,35882.14453125,81282.8125,26188.376953125,130906.6953125,42257.45703125,81272.8046875
2,-6975.4130859375,88264.4765625,35889.58203125,80909.546875,26223.138671875,130910.6953125,42250.63671875,81106.625
0,-6699.18115234375,88378.8671875,36028.9609375,80238.5390625,26355.603515625,130717.0546875,42300.421875,80686.765625
1,-6383.60986328125,88512.859375,36197.37890625,79654.0859375,26520.541015625,130425.2734375,42357.92578125,80209.21875
2,-6129.35986328125,88618.1484375,36305.3828125,79320.34375,26657.6328125,130127.203125,42378.09765625,79823.0703125
0,-6053.49609375,88644.5625,36254.36328125,79252.0625,26701.595703125,129934.1796875,42316.7265625,79687.03125
1,-6194.92578125,88570.1796875,36011.74609375,79577.265625,26619.62890625,129913.5859375,42163.6640625,79840.2421875
2,-6499.10009765625,88422.1640625,35633.51953125,80252.3671875,26440.623046875,130078.28125,41956.09375,80242.546875
0,-6797.8388671875,88282.734375,35275.60546875,80845.078125,26258.900390625,130360.6640625,41773.0390625,80713.8984375
1,-7030.5830078125,88169.296875,34980.82421875,81228.7421875,26102.068359375,130632.75,41620.78125,81075.6796875
2,-7094.2880859375,88132.9609375,34838.109375,81319.8671875,26037.314453125,130812.8515625,41548.78125,81213.9609375
0,-6972.59912109375,88175.6875,34858.421875,81016.40625,26074.603515625,130813.9921875,41549.828125,81049.78125
1,-6686.73486328125,88297.7578125,35016.73046875,80280.7890625,26217.416015625,130619.3515625,41613.7265625,80620.8203125
2,-6374.7412109375,88424.8359375,35191.4921875,79645.40625,26376.392578125,130331.390625,41673.6171875,80143.984375
0,-6119.490234375,88530.6015625,35310.890625,79281.390625,26517.298828125,130051.390625,41704.32421875,79763.375
0,-6045.0078125,88556.3984375,35267.26171875,79299.078125,26560.451171875,129857.890625,41653.11328125,79621.8984375
1,-6188.96484375,88480.0546875,35035.08984375,79697.1875,26476.099609375,129835.765625,41507.8671875,79797.328125
2,-6481.837890625,88345.4921875,34682.9921875,80354.3671875,26309.4453125,130012.0,41319.51953125,80233.0078125
3,-6786.44189453125,88197.3359375,34325.125,80986.4140625,26119.37890625,130287.8984375,41134.6953125,80703.9375
4,-7018.7099609375,88079.84375,34037.9765625,81363.828125,25963.880859375,130549.15625,40989.546875,81053.8828125
5,-7085.60986328125,88036.5,33901.6015625,81348.09375,25896.408203125,130703.84375,40917.6875,81157.6484375
6,-6962.10888671875,88077.125,33931.1640625,80981.1171875,25935.080078125,130698.6953125,40922.16796875,80977.3515625
7,-6678.0087890625,88197.671875,34098.10546875,80401.765625,26075.74609375,130539.859375,40993.12109375,80577.90625
8,-6366.158203125,88324.796875,34280.3046875,79812.96875,26236.298828125,130267.4453125,41058.35546875,80101.40625
9,-6119.15576171875,88423.453125,34398.46484375,79410.9453125,26368.3359375,129983.8203125,41083.625,79711.3984375
10,-6051.8271484375,88444.1484375,34357.359375,79402.171875,26405.384765625,129798.140625,41030.83984375,79573.3046875
11,-6184.38720703125,88379.5390625,34142.92578125,79794.2265625,26334.669921875,129790.84375,40902.5234375,79748.78125
12,-6487.17919921875,88231.71875,33784.39453125,80453.8359375,26155.85546875,129954.78125,40706.2578125,80166.7265625
0,-6786.966796875,88089.234375,33440.0703125,81100.5703125,25970.84375,130224.484375,40530.828125,80632.984375
1,-7016.51611328125,87973.84375,33163.02734375,81536.4453125,25815.5859375,130487.40625,40389.16015625,80983.6953125
0,-7076.35888671875,87935.40625,33040.09765625,81583.4140625,25752.166015625,130664.265625,40324.8359375,81101.28125
1,-6956.625,87970.9375,33071.7109375,81172.0,25786.44921875,130659.640625,40328.26953125,80911.265625
2,-6677.580078125,88083.375,33240.03515625,80563.03125,25919.630859375,130498.7109375,40398.171875,80506.234375
0,-6361.341796875,88214.7890625,33433.10546875,79963.6484375,26084.283203125,130231.7734375,40471.03515625,80027.96875
1,-6112.86181640625,88316.2578125,33563.1875,79562.9140625,26219.275390625,129955.0234375,40506.03125,79643.3984375
2,-6041.47900390625,88341.9140625,33534.0078125,79557.328125,26260.998046875,129775.78125,40463.35546875,79515.9453125
3,-6192.73193359375,88261.09375,33309.65234375,79960.40625,26171.87890625,129759.7109375,40324.55078125,79689.0859375
0,-6502.19921875,88110.8828125,32955.31640625,80628.59375,25988.294921875,129924.359375,40130.66796875,80108.4609375
1,-6802.27294921875,87966.359375,32616.666015625,81251.53125,25801.8046875,130192.1015625,39958.38671875,80574.4296875
0,-7023.6689453125,87857.3515625,32355.8359375,81642.4921875,25652.935546875,130464.4296875,39830.1171875,80938.875
1,-7080.26904296875,87818.5390625,32242.015625,81640.109375,25590.470703125,130630.3671875,39771.89453125,81047.3046875
2,-6952.09521484375,87862.6953125,32289.603515625,81257.875,25632.05078125,130623.359375,39788.7734375,80857.3359375
0,-6668.9970703125,87977.8046875,32466.939453125,80592.9296875,25766.66015625,130445.546875,39863.2109375,80429.46875
1,-6348.658203125,88112.171875,32670.59765625,79986.296875,25933.888671875,130180.8515625,39943.4609375,79956.5859375
2,-6101.94189453125,88211.359375,32804.34765625,79592.7578125,26065.638671875,129903.140625,39980.94140625,79573.9296875
3,-6040.85888671875,88227.28125,32773.1640625,79596.0078125,26099.970703125,129724.0859375,39934.49609375,79451.0
0,-6183.43408203125,88155.1875,32565.548828125,80018.4375,26021.1484375,129726.8046875,39809.9921875,79650.078125
1,-6491.47119140625,88004.984375,32219.9375,80680.8125,25839.85546875,129898.2734375,39621.8359375,80077.8515625
0,-6794.8818359375,87857.3515625,31887.05859375,81291.96875,25650.408203125,130159.296875,39448.93359375,80532.2734375
1,-7006.59814453125,87755.2578125,31642.10546875,81646.5,25508.359375,130421.5078125,39330.10546875,80876.6484375
2,-7069.587890625,87707.1953125,31527.474609375,81605.015625,25438.40625,130566.8515625,39266.3984375,80962.046875
0,-6942.3681640625,87746.6328125,31580.30859375,81238.609375,25478.509765625,130564.3203125,39283.23046875,80776.84375
1,-6660.1279296875,87857.734375,31763.462890625,80602.3203125,25612.26171875,130393.234375,39357.5234375,80356.84375
2,-6342.55419921875,87987.859375,31970.98046875,79990.6328125,25776.53125,130127.109375,39436.6328125,79883.15625
0,-6096.83984375,88086.09375,32111.314453125,79607.828125,25908.376953125,129857.21875,39476.3515625,79510.6015625
1,-6030.98876953125,88106.1171875,32090.5234375,79634.1015625,25946.28515625,129691.8984375,39437.7265625,79399.40625
2,-6183.9111328125,88025.7734375,31880.095703125,80050.2890625,25858.8828125,129687.75,39308.98046875,79582.6015625
0,-6499.0048828125,87865.984375,31532.005859375,80723.7265625,25669.529296875,129853.546875,39116.578125,80005.0859375
1,-6806.66015625,87711.6328125,31199.744140625,81359.5390625,25475.02734375,130118.1015625,38943.34375,80472.5703125
0,-7021.09423828125,87607.4375,30960.0859375,81731.9921875,25333.455078125,130384.6015625,38828.04296875,80828.25
1,-7069.97021484375,87570.8203125,30863.8125,81712.3515625,25274.326171875,130538.8125,38781.6953125,80923.8984375
2,-6929.1591796875,87620.6484375,30934.384765625,81321.8203125,25324.490234375,130532.5625,38813.8828125,80732.3046875
3,-6647.4921875,87729.703125,31124.595703125,80704.171875,25459.435546875,130359.0,38891.98828125,80314.6015625
0,-6332.97021484375,87857.2578125,31338.408203125,80078.0390625,25622.466796875,130087.578125,38973.859375,79836.328125
